yaw_thresh,window,precision,recall,f1,accuracy
15,1.0,0.9175475687103594,0.9041666666666667,0.9108079748163693,0.9527777777777777
15,2.0,0.8387096774193549,0.8125,0.8253968253968254,0.9083333333333333
15,3.0,0.7516778523489933,0.7,0.7249190938511327,0.8583333333333333
15,5.0,0.5569007263922519,0.4791666666666667,0.5151175811870101,0.7594444444444445
20,1.0,0.9211087420042644,0.9,0.9104320337197049,0.9527777777777777
20,2.0,0.8381374722838137,0.7875,0.8120300751879699,0.9027777777777778
20,3.0,0.7482678983833718,0.675,0.7097480832420592,0.8527777777777777
20,5.0,0.5440806045340051,0.45,0.4925883694412771,0.7527777777777778
25,1.0,0.9209401709401709,0.8979166666666667,0.9092827004219409,0.9522222222222222
25,2.0,0.8377777777777777,0.7854166666666667,0.810752688172043,0.9022222222222223
25,3.0,0.7476851851851852,0.6729166666666667,0.7083333333333334,0.8522222222222222
25,5.0,0.5429292929292929,0.4479166666666667,0.4908675799086758,0.7522222222222222
30,1.0,0.9224137931034483,0.8916666666666667,0.9067796610169492,0.9511111111111111
30,2.0,0.8385650224215246,0.7791666666666667,0.8077753779697624,0.9011111111111111
30,3.0,0.7476635514018691,0.6666666666666666,0.7048458149779736,0.8511111111111112
30,5.0,0.5408163265306123,0.44166666666666665,0.48623853211009177,0.7511111111111111
35,1.0,0.9262472885032538,0.8895833333333333,0.9075451647183846,0.9516666666666667
35,2.0,0.8419864559819413,0.7770833333333333,0.8082340195016251,0.9016666666666666
35,3.0,0.7505882352941177,0.6645833333333333,0.7049723756906078,0.8516666666666667
35,5.0,0.5424164524421594,0.4395833333333333,0.4856156501726122,0.7516666666666667
40,1.0,0.9281045751633987,0.8875,0.9073482428115016,0.9516666666666667
40,2.0,0.8435374149659864,0.775,0.8078175895765473,0.9016666666666666
40,3.0,0.75177304964539,0.6625,0.7043189368770764,0.8516666666666667
40,5.0,0.5426356589147286,0.4375,0.4844290657439446,0.7516666666666667
45,1.0,0.930648769574944,0.8666666666666667,0.8975188781014024,0.9472222222222222
45,2.0,0.8466819221967964,0.7708333333333334,0.806979280261723,0.9016666666666666
45,3.0,0.7531172069825436,0.6291666666666667,0.6855845629965948,0.8461111111111111
45,5.0,0.5497076023391813,0.39166666666666666,0.45742092457420924,0.7522222222222222
50,1.0,0.927710843373494,0.6416666666666667,0.7586206896551724,0.8911111111111111
50,2.0,0.875,0.525,0.65625,0.8533333333333334
50,3.0,0.7870722433460076,0.43125,0.5572005383580081,0.8172222222222222
50,5.0,0.5636363636363636,0.25833333333333336,0.35428571428571426,0.7488888888888889
